kind,name,value
x_variation,Numobs,0.12907725947615184
x_variation,Length,0.1595404104433107
x_variation,Size,0.18904371510875417
x_variation,Bcovfaulty,0.6639216928833009
x_variation,Bcovfixed,0.6626295778291308
x_variation,Lcovfaulty,0.6876147936325611
x_variation,Lcovfixed,0.6841098441398955
x_variation,Numremoved,0.054269663738787534
x_variation,Fixedcov,0.6358791961953759
y_variation,Class+,0.7481012762320552
correlation,Numobs|Length,0.547407897433543
correlation,Numobs|Size,0.5175595447164568
correlation,Numobs|Bcovfaulty,0.07477375484108571
correlation,Numobs|Bcovfixed,0.08619415082827943
correlation,Numobs|Lcovfaulty,0.04090315405792457
correlation,Numobs|Lcovfixed,0.04864067702105504
correlation,Numobs|Numremoved,0.1781332564253324
correlation,Numobs|Fixedcov,0.20715399330116946
correlation,Length|Size,0.8227502636749039
correlation,Length|Bcovfaulty,0.2464070217275562
correlation,Length|Bcovfixed,0.24830236845217826
correlation,Length|Lcovfaulty,0.22525601117317554
correlation,Length|Lcovfixed,0.2242817154295099
correlation,Length|Numremoved,0.2542634463246613
correlation,Length|Fixedcov,0.037394696497032996
correlation,Size|Bcovfaulty,0.34749921710407244
correlation,Size|Bcovfixed,0.3342152002238643
correlation,Size|Lcovfaulty,0.3196259919030151
correlation,Size|Lcovfixed,0.30294581986265123
correlation,Size|Numremoved,0.40305222748901953
correlation,Size|Fixedcov,0.12161239065832731
correlation,Bcovfaulty|Bcovfixed,0.9960807829916558
correlation,Bcovfaulty|Lcovfaulty,0.9721685319374055
correlation,Bcovfaulty|Lcovfixed,0.9702195091331532
correlation,Bcovfaulty|Numremoved,0.06855446588301507
correlation,Bcovfaulty|Fixedcov,0.518891332064741
correlation,Bcovfixed|Lcovfaulty,0.968431993156037
correlation,Bcovfixed|Lcovfixed,0.9717635460946539
correlation,Bcovfixed|Numremoved,0.05620593404570166
correlation,Bcovfixed|Fixedcov,0.5116733908380174
correlation,Lcovfaulty|Lcovfixed,0.9971447540445272
correlation,Lcovfaulty|Numremoved,0.050426882854100304
correlation,Lcovfaulty|Fixedcov,0.5542791240851437
correlation,Lcovfixed|Numremoved,0.03843015386956683
correlation,Lcovfixed|Fixedcov,0.5489566396222555
correlation,Numremoved|Fixedcov,0.0005650876141812173
covariance,Numobs|Length,0.0028187443074064586
covariance,Numobs|Size,0.0031578862636092255
covariance,Numobs|Bcovfaulty,0.0015395833196334867
covariance,Numobs|Bcovfixed,0.0018460827342996861
covariance,Numobs|Lcovfaulty,0.000872246344589836
covariance,Numobs|Lcovfixed,0.00107554354593642
covariance,Numobs|Numremoved,0.0003120154190655601
covariance,Numobs|Fixedcov,-0.0042538911441430205
covariance,Length|Size,0.006204762477932657
covariance,Length|Bcovfaulty,0.006275544065899258
covariance,Length|Bcovfixed,0.006446290390973986
covariance,Length|Lcovfaulty,0.005941595008692146
covariance,Length|Lcovfixed,0.006011431391732784
covariance,Length|Numremoved,0.000550472904975858
covariance,Length|Fixedcov,0.0009502840684020577
covariance,Size|Bcovfaulty,0.010038081653598457
covariance,Size|Bcovfixed,0.010413670661172542
covariance,Size|Lcovfaulty,0.00956240943794399
covariance,Size|Lcovfixed,0.009745354178376816
covariance,Size|Numremoved,0.0010339627244762423
covariance,Size|Fixedcov,0.003661697741555903
covariance,Bcovfaulty|Bcovfixed,0.1100213582603373
covariance,Bcovfaulty|Lcovfaulty,0.11097693696524386
covariance,Bcovfaulty|Lcovfixed,0.11078724819480143
covariance,Bcovfaulty|Numremoved,0.00041765778357285985
covariance,Bcovfaulty|Fixedcov,0.05534582499758365
covariance,Bcovfixed|Lcovfaulty,0.11078473465170684
covariance,Bcovfixed|Lcovfixed,0.11014977177883263
covariance,Bcovfixed|Numremoved,0.0005112563714679315
covariance,Bcovfixed|Fixedcov,0.05402395797773469
covariance,Lcovfaulty|Lcovfixed,0.11792512183211062
covariance,Lcovfaulty|Numremoved,0.00031818177749126083
covariance,Lcovfaulty|Fixedcov,0.06116462649754031
covariance,Lcovfixed|Numremoved,0.00036089736362014273
covariance,Lcovfixed|Fixedcov,0.05977387371421087
covariance,Numremoved|Fixedcov,4.89180598851705e-06
performance,rmse,14.76
stability,agreement,0
stability,jaccard_mean,0.2561
